 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 2.77000000e-01  2.50000000e-01  2.77000000e-01  6.54016697e-01 
 2.78000000e-01  2.50000000e-01  2.78000000e-01  6.61426775e-01 
 2.79000000e-01  2.50000000e-01  2.79000000e-01  6.69078228e-01 
 2.80000000e-01  2.50000000e-01  2.80000000e-01  6.76960868e-01 
 2.81000000e-01  2.50000000e-01  2.81000000e-01  6.85101769e-01 
 2.82000000e-01  2.50000000e-01  2.82000000e-01  6.93481209e-01 
 2.83000000e-01  2.50000000e-01  2.83000000e-01  7.02140850e-01 
 2.84000000e-01  2.50000000e-01  2.84000000e-01  7.11088276e-01 
 2.85000000e-01  2.50000000e-01  2.85000000e-01  7.20306794e-01 
 2.86000000e-01  2.50000000e-01  2.86000000e-01  7.29816160e-01 
 2.87000000e-01  2.50000000e-01  2.87000000e-01  7.39629492e-01 
 2.88000000e-01  2.50000000e-01  2.88000000e-01  7.49774946e-01 
 2.89000000e-01  2.50000000e-01  2.89000000e-01  7.60202835e-01 
 2.90000000e-01  2.50000000e-01  2.90000000e-01  7.70988222e-01 
 2.91000000e-01  2.50000000e-01  2.91000000e-01  7.82089573e-01 
 2.92000000e-01  2.50000000e-01  2.92000000e-01  7.93548226e-01 
 2.93000000e-01  2.50000000e-01  2.93000000e-01  8.05400643e-01 
 2.94000000e-01  2.50000000e-01  2.94000000e-01  8.17596316e-01 
 2.95000000e-01  2.50000000e-01  2.95000000e-01  8.30181014e-01 
 2.96000000e-01  2.50000000e-01  2.96000000e-01  8.43159122e-01 
 2.97000000e-01  2.50000000e-01  2.97000000e-01  8.56574120e-01 
 2.98000000e-01  2.50000000e-01  2.98000000e-01  8.70381459e-01 
 2.99000000e-01  2.50000000e-01  2.99000000e-01  8.84618009e-01 
 3.00000000e-01  2.50000000e-01  3.00000000e-01  8.99319738e-01 
 3.01000000e-01  2.50000000e-01  3.01000000e-01  9.14453592e-01 
 3.02000000e-01  2.50000000e-01  3.02000000e-01  9.30080901e-01 
